Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
5/3/2024,97,Ozone,Indio Amistad High School,06-065-2007,AQS,13,97,43,63,8
5/4/2024,71,Ozone,Indio Amistad High School,06-065-2007,AQS,2,71,68,59,11
5/5/2024,61,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,61,50,38,11
5/6/2024,55,PM2.5,Indio Amistad High School,06-065-2007,AQS,3,54,27,55,24
5/7/2024,101,Ozone,Indio Amistad High School,06-065-2007,AQS,6,101,52,53,28
5/8/2024,87,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,87,59,56,25
5/9/2024,71,Ozone,Rubidoux,06-065-8001,AQS,2,71,39,59,18
5/10/2024,90,Ozone,Rubidoux,06-065-8001,AQS,3,90,44,66,29
5/11/2024,90,Ozone,Rubidoux,06-065-8001,AQS,3,90,36,63,17
5/12/2024,105,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,105,32,64,10
5/13/2024,97,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,97,49,64,19
5/14/2024,90,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,90,48,58,9
5/15/2024,77,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,77,75,73,8
5/16/2024,112,Ozone,Indio Amistad High School,06-065-2007,AQS,2,112,83,75,11
5/17/2024,93,Ozone,Indio Amistad High School,06-065-2007,AQS,2,93,63,84,13
5/18/2024,96,PM2.5,Indio Amistad High School,06-065-2007,AQS,3,93,84,96,14
5/19/2024,100,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,100,70,76,11
5/20/2024,71,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,71,69,61,7
5/21/2024,84,Ozone,Indio Amistad High School,06-065-2007,AQS,2,84,42,57,9
5/22/2024,105,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,105,57,64,27
5/23/2024,84,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,84,68,56,7
5/24/2024,101,PM10,Indio Amistad High School,06-065-2007,AQS,2,54,101,66,8
5/25/2024,87,PM10,Indio Amistad High School,06-065-2007,AQS,2,45,87,55,10
5/26/2024,58,Ozone,Indio Amistad High School,06-065-2007,AQS,2,58,37,48,8
5/27/2024,77,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,77,33,55,12
5/28/2024,97,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,97,42,64,28
5/29/2024,100,Ozone,Indio Amistad High School,06-065-2007,AQS,2,100,40,63,12
5/30/2024,136,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,136,44,61,26
5/31/2024,140,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,140,48,67,23
6/1/2024,133,Ozone,Indio Amistad High School,06-065-2007,AQS,2,133,64,64,13
6/2/2024,59,PM10,Mecca (Saul Martinez),06-065-2005,AQS,2,58,59,58,9
6/3/2024,101,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,101,44,64,17
6/4/2024,154,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,154,46,64,26
6/5/2024,190,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,190,52,63,42
6/6/2024,185,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,185,45,62,15
6/7/2024,126,Ozone,Indio Amistad High School,06-065-2007,AQS,3,126,59,57,13
6/8/2024,80,Ozone,Indio Amistad High School,06-065-2007,AQS,2,80,72,57,21
6/9/2024,67,Ozone,Indio Amistad High School,06-065-2007,AQS,2,67,44,44,9
6/10/2024,147,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,147,32,57,17
6/11/2024,159,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,159,37,64,24
6/12/2024,112,Ozone,Indio Amistad High School,06-065-2007,AQS,3,112,39,59,17
6/13/2024,101,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,101,81,61,21
6/14/2024,192,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,192,54,59,21
6/15/2024,174,Ozone,Rubidoux,06-065-8001,AQS,5,174,51,65,35
6/16/2024,133,Ozone,Indio Amistad High School,06-065-2007,AQS,3,133,66,66,17
6/17/2024,112,PM10,Mecca (Saul Martinez),06-065-2005,AQS,2,97,112,78,13
6/18/2024,119,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,119,68,66,9
6/19/2024,122,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,122,61,74,16
6/20/2024,147,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,147,47,64,23
6/21/2024,182,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,182,54,67,21
6/22/2024,172,Ozone,Rubidoux,06-065-8001,AQS,6,172,59,67,27
6/23/2024,129,Ozone,Rubidoux,06-065-8001,AQS,7,129,45,60,23
6/24/2024,154,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,154,44,53,20
6/25/2024,115,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,115,54,55,16
6/26/2024,156,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,156,47,58,16
6/27/2024,122,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,122,63,60,10
6/28/2024,90,Ozone,Rubidoux,06-065-8001,AQS,2,90,51,60,22
6/29/2024,147,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,147,46,63,17
6/30/2024,150,Ozone,Rubidoux,06-065-8001,AQS,5,150,41,62,19
7/1/2024,126,Ozone,Rubidoux,06-065-8001,AQS,5,126,42,57,24
7/2/2024,150,Ozone,Rubidoux,06-065-8001,AQS,3,150,42,62,20
7/3/2024,204,Ozone,Rubidoux,06-065-8001,AQS,5,204,51,67,25
7/4/2024,203,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,203,44,76,14
7/5/2024,206,Ozone,Rubidoux,06-065-8001,AQS,5,206,74,154,20
7/6/2024,159,Ozone,Banning Airport,06-065-0012,AQS,5,159,46,68,24
7/7/2024,115,Ozone,Indio Amistad High School,06-065-2007,AQS,3,115,49,63,28
7/8/2024,208,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,208,73,102,19
7/9/2024,213,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,213,54,78,23
7/10/2024,206,Ozone,Rubidoux,06-065-8001,AQS,6,206,52,74,28
7/11/2024,192,Ozone,Rubidoux,06-065-8001,AQS,5,192,51,68,26
7/12/2024,192,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,192,78,69,20
7/13/2024,122,Ozone,Rubidoux,06-065-8001,AQS,3,122,48,63,28
7/14/2024,108,Ozone,Rubidoux,06-065-8001,AQS,3,108,40,61,13
7/15/2024,150,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,150,44,60,12
7/16/2024,136,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,136,47,58,21
7/17/2024,185,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,185,46,58,25
7/18/2024,159,Ozone,Rubidoux,06-065-8001,AQS,2,159,55,59,13
7/19/2024,179,Ozone,Rubidoux,06-065-8001,AQS,3,179,47,62,19
7/20/2024,172,Ozone,Rubidoux,06-065-8001,AQS,6,172,52,62,28
7/21/2024,143,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,143,43,61,22
7/22/2024,187,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,187,49,62,23
7/23/2024,185,Ozone,Rubidoux,06-065-8001,AQS,2,185,48,59,15
7/24/2024,202,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,202,52,61,25
7/25/2024,187,Ozone,Rubidoux,06-065-8001,AQS,3,187,57,65,21
7/26/2024,80,Ozone,Indio Amistad High School,06-065-2007,AQS,5,80,53,56,24
7/27/2024,67,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,67,60,59,18
7/28/2024,64,Ozone,Rubidoux,06-065-8001,AQS,3,64,45,60,16
7/29/2024,108,Ozone,Rubidoux,06-065-8001,AQS,5,108,63,57,23
7/30/2024,126,Ozone,Palm Springs,06-065-5001,AQS,5,126,49,58,25
7/31/2024,185,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,6,185,55,60,28
8/1/2024,126,Ozone,Rubidoux,06-065-8001,AQS,6,126,57,63,31
8/2/2024,172,Ozone,Rubidoux,06-065-8001,AQS,7,172,56,63,34
8/3/2024,179,Ozone,Rubidoux,06-065-8001,AQS,6,179,52,62,25
8/4/2024,151,Ozone,Rubidoux,06-065-8001,AQS,6,151,48,61,22
8/5/2024,179,Ozone,Rubidoux,06-065-8001,AQS,5,179,53,60,27
8/6/2024,151,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,151,64,61,27
8/7/2024,100,Ozone,Rubidoux,06-065-8001,AQS,3,100,58,61,25
8/8/2024,105,Ozone,Palm Springs,06-065-5001,AQS,3,105,51,62,19
8/9/2024,172,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,172,47,64,21
8/10/2024,166,Ozone,Rubidoux,06-065-8001,AQS,3,166,60,71,20
8/11/2024,112,Ozone,Rubidoux,06-065-8001,AQS,5,112,52,69,25
8/12/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,3,54,53,58,17
8/13/2024,80,Ozone,Rubidoux,06-065-8001,AQS,3,80,45,57,17
8/14/2024,100,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,100,49,59,27
8/15/2024,122,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,122,52,64,22
8/16/2024,143,Ozone,Rubidoux,06-065-8001,AQS,6,143,53,62,42
8/17/2024,74,Ozone,Rubidoux,06-065-8001,AQS,2,74,47,69,21
8/18/2024,100,Ozone,Rubidoux,06-065-8001,AQS,2,100,47,61,17
8/19/2024,172,Ozone,Rubidoux,06-065-8001,AQS,6,172,51,60,31
8/20/2024,115,Ozone,Rubidoux,06-065-8001,AQS,7,115,49,55,42
8/21/2024,129,Ozone,Rubidoux,06-065-8001,AQS,8,129,53,57,46
8/22/2024,77,Ozone,Rubidoux,06-065-8001,AQS,3,77,49,58,16
8/23/2024,84,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,84,52,53,16
8/24/2024,61,Ozone,Joshua Tree NP - Cottonwood Visitor Center,06-065-0010,AQS,2,61,38,52,12
8/25/2024,74,Ozone,Rubidoux,06-065-8001,AQS,3,74,34,57,18
8/26/2024,136,Ozone,Rubidoux,06-065-8001,AQS,6,136,53,60,26
8/27/2024,156,Ozone,Rubidoux,06-065-8001,AQS,5,156,51,62,26
8/28/2024,136,Ozone,Rubidoux,06-065-8001,AQS,3,136,57,63,21
8/29/2024,154,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,154,45,67,29
8/30/2024,177,Ozone,Banning Airport,06-065-0012,AQS,5,177,50,69,28
8/31/2024,182,Ozone,Rubidoux,06-065-8001,AQS,5,182,51,70,31
9/1/2024,156,Ozone,Rubidoux,06-065-8001,AQS,5,156,46,68,16
9/2/2024,151,Ozone,Rubidoux,06-065-8001,AQS,5,151,44,67,25
9/3/2024,164,Ozone,Rubidoux,06-065-8001,AQS,6,164,54,64,27
9/4/2024,143,Ozone,Banning Airport,06-065-0012,AQS,6,143,59,60,35
9/5/2024,185,Ozone,Rubidoux,06-065-8001,AQS,8,185,65,63,45
9/6/2024,177,Ozone,Rubidoux,06-065-8001,AQS,9,177,65,71,55
9/7/2024,174,Ozone,Rubidoux,06-065-8001,AQS,6,174,62,75,26
9/8/2024,129,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,14,105,105,129,39
9/9/2024,185,Ozone,Mira Loma (Van Buren),06-065-8005,AQS,16,185,88,155,60
9/10/2024,105,Ozone,Indio Amistad High School,06-065-2007,AQS,11,105,74,102,42
9/11/2024,93,PM10,Indio Amistad High School,06-065-2007,AQS,7,80,93,64,21
9/12/2024,101,Ozone,Indio Amistad High School,06-065-2007,AQS,2,101,67,72,20
9/13/2024,136,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,136,56,73,17
9/14/2024,105,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,105,47,65,20
9/15/2024,80,Ozone,Indio Amistad High School,06-065-2007,AQS,3,80,60,69,4
9/16/2024,68,PM10,Mecca (Saul Martinez),06-065-2005,AQS,2,48,68,42,7
9/17/2024,49,Ozone,Indio Amistad High School,06-065-2007,AQS,2,49,39,40,16
9/18/2024,74,Ozone,Palm Springs,06-065-5001,AQS,5,74,40,54,22
9/19/2024,74,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,74,37,44,10
9/20/2024,65,PM10,Mecca (Saul Martinez),06-065-2005,AQS,2,50,65,53,13
9/21/2024,101,Ozone,Indio Amistad High School,06-065-2007,AQS,3,101,35,60,14
9/22/2024,143,Ozone,Rubidoux,06-065-8001,AQS,5,143,39,68,29
9/23/2024,151,Ozone,Rubidoux,06-065-8001,AQS,6,151,50,70,27
9/24/2024,140,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,140,43,75,42
9/25/2024,174,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,174,42,74,48
9/26/2024,164,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,5,164,48,63,43
9/27/2024,177,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,7,177,51,69,25
9/28/2024,133,Ozone,Rubidoux,06-065-8001,AQS,6,133,47,65,22
9/29/2024,129,Ozone,Rubidoux,06-065-8001,AQS,7,129,47,71,40
9/30/2024,172,Ozone,Rubidoux,06-065-8001,AQS,10,172,62,82,46
10/1/2024,185,Ozone,Rubidoux,06-065-8001,AQS,8,185,71,77,43
10/2/2024,195,Ozone,Rubidoux,06-065-8001,AQS,9,195,63,72,48
10/3/2024,197,Ozone,Rubidoux,06-065-8001,AQS,9,197,57,74,34
10/4/2024,172,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,7,172,57,73,47
10/5/2024,200,Ozone,Rubidoux,06-065-8001,AQS,6,200,53,80,27
10/6/2024,185,Ozone,Rubidoux,06-065-8001,AQS,7,185,49,75,28
10/7/2024,161,Ozone,Rubidoux,06-065-8001,AQS,9,161,55,72,50
10/8/2024,122,Ozone,Rubidoux,06-065-8001,AQS,8,122,56,66,39
10/9/2024,119,Ozone,Rubidoux,06-065-8001,AQS,9,119,54,75,36
10/10/2024,101,Ozone,Mira Loma (Van Buren),06-065-8005,AQS,7,101,58,76,38
10/11/2024,90,Ozone,Rubidoux,06-065-8001,AQS,8,90,59,65,41
10/12/2024,68,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,67,53,68,37
10/13/2024,84,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,8,84,42,60,23
10/14/2024,77,Ozone,Indio Amistad High School,06-065-2007,AQS,3,77,46,61,19
10/15/2024,100,Ozone,Palm Springs,06-065-5001,AQS,3,100,55,75,18
10/16/2024,93,Ozone,Palm Springs,06-065-5001,AQS,3,93,51,91,25
10/17/2024,131,PM10,29 Palms,06-065-0500,AQS,2,51,131,69,16
10/18/2024,162,PM10,Mecca (Saul Martinez),06-065-2005,AQS,3,46,162,65,27
10/19/2024,59,PM10,Mira Loma (Van Buren),06-065-8005,AQS,6,47,59,53,31
10/20/2024,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,61,54,61,38
10/21/2024,74,Ozone,Rubidoux,06-065-8001,AQS,10,74,61,73,41
10/22/2024,87,Ozone,Pechanga,06-065-0009,AirNow,10,87,57,64,44
10/23/2024,119,Ozone,Mira Loma (Van Buren),06-065-8005,AQS,10,119,63,72,44
10/24/2024,119,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,10,119,62,69,48
10/25/2024,133,Ozone,Lake Elsinore,06-065-9001,AQS,10,133,63,72,44
10/26/2024,151,Ozone,Rubidoux,06-065-8001,AQS,13,151,68,99,46
10/27/2024,101,Ozone,Rubidoux,06-065-8001,AQS,13,101,54,77,41
10/28/2024,179,PM10,Mecca (Saul Martinez),06-065-2005,AQS,5,50,179,54,29
10/29/2024,47,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,3,44,31,47,23
10/30/2024,52,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,44,43,52,35
10/31/2024,59,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,51,49,59,35
11/1/2024,60,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,58,50,60,34
11/2/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,48,57,58,27
11/3/2024,119,PM10,Mecca (Saul Martinez),06-065-2005,AQS,3,45,119,54,30
11/4/2024,84,PM10,Mira Loma (Van Buren),06-065-8005,AQS,3,41,84,51,34
11/5/2024,53,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,45,51,53,32
11/6/2024,170,PM10,Mira Loma (Van Buren),06-065-8005,AQS,7,41,170,68,31
11/7/2024,40,PM10,Mira Loma (Van Buren),06-065-8005,AQS,2,36,40,18,29
11/8/2024,58,PM10,Mira Loma (Van Buren),06-065-8005,AQS,7,41,58,56,38
11/9/2024,74,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,48,57,74,42
11/10/2024,90,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,67,60,90,42
11/11/2024,80,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,11,80,54,78,39
11/12/2024,56,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,44,44,56,37
11/13/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,44,53,58,39
11/14/2024,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,54,51,61,38
11/15/2024,105,PM10,Mecca (Saul Martinez),06-065-2005,AQS,3,42,105,47,22
11/16/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,39,26,58,26
11/17/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,40,27,58,29
11/18/2024,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,43,35,61,29
11/19/2024,60,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,40,46,60,32
11/20/2024,56,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,44,52,56,42
11/21/2024,69,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,46,64,69,50
11/22/2024,86,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,15,50,66,86,48
11/23/2024,84,PM2.5,Rubidoux,06-065-8001,AQS,15,44,48,84,44
11/24/2024,41,Ozone,Palm Springs,06-065-5001,AQS,5,41,39,37,22
11/25/2024,67,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,42,39,67,36
11/26/2024,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,39,44,58,32
11/27/2024,65,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,37,33,65,25
11/28/2024,40,Ozone,Banning Airport,06-065-0012,AQS,6,40,20,32,20
11/29/2024,44,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,5,41,31,44,34
11/30/2024,59,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,43,49,59,36
12/1/2024,73,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,44,52,73,36
12/2/2024,91,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,47,67,91,46
12/3/2024,99,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,14,46,67,99,44
12/4/2024,125,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,14,46,68,125,50
12/5/2024,157,PM2.5,Rubidoux,06-065-8001,AQS,15,43,75,157,42
12/6/2024,72,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,41,50,72,41
12/7/2024,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,41,44,61,47
12/8/2024,79,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,15,47,55,79,35
12/9/2024,74,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,45,58,74,31
12/10/2024,64,PM10,Lake Elsinore,06-065-9001,AQS,3,45,64,62,41
12/11/2024,63,PM10,Mira Loma (Van Buren),06-065-8005,AQS,10,42,63,56,42
12/12/2024,64,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,42,51,64,42
12/13/2024,68,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,41,41,68,29
12/14/2024,75,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,44,49,75,30
12/15/2024,79,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,46,44,79,33
12/16/2024,70,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,47,58,70,43
12/17/2024,62,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,42,62,62,43
12/18/2024,43,Ozone,Banning Airport,06-065-0012,AQS,5,43,34,29,41
12/19/2024,65,PM10,Mira Loma (Van Buren),06-065-8005,AQS,11,43,65,60,47
12/20/2024,76,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,45,66,76,41
12/21/2024,128,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,14,49,70,128,42
12/22/2024,151,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,16,45,74,151,40
12/23/2024,110,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,15,41,66,110,42
12/24/2024,86,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,40,51,86,40
12/25/2024,85,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,42,41,85,27
12/26/2024,71,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,42,42,71,29
12/27/2024,79,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,38,51,79,32
12/28/2024,116,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,39,58,116,29
12/29/2024,146,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,15,44,57,146,32
12/30/2024,123,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,44,52,123,30
12/31/2024,131,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,44,60,131,35
1/1/2025,166,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,25,44,77,166,38
1/2/2025,96,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,15,44,67,96,40
1/3/2025,81,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,45,64,81,43
1/4/2025,131,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,44,58,131,37
1/5/2025,79,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,44,53,79,36
1/6/2025,63,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,44,57,63,36
1/7/2025,365,PM10,Mecca (Saul Martinez),06-065-2005,AQS,8,40,365,46,35
1/8/2025,119,PM10,Indio Amistad High School,06-065-2007,AQS,2,41,119,53,31
1/9/2025,55,PM10,Palm Springs,06-065-5001,AQS,3,44,55,32,40
1/10/2025,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,42,41,61,48
1/11/2025,63,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,16,44,52,63,42
1/12/2025,55,PM2.5,Rubidoux,06-065-8001,AQS,2,41,16,55,10
1/13/2025,39,Ozone,Pechanga,06-065-0009,AirNow,2,39,32,17,16
1/14/2025,42,Ozone,Pechanga,06-065-0009,AirNow,5,42,24,28,34
1/15/2025,44,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,7,44,25,28,37
1/16/2025,52,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,43,47,52,39
1/17/2025,60,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,46,54,60,36
1/18/2025,78,PM2.5,Rubidoux,06-065-8001,AQS,6,44,48,78,35
1/19/2025,99,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,46,51,99,27
1/20/2025,72,PM2.5,Banning Airport,06-065-0012,AQS,7,44,62,72,26
1/21/2025,45,PM2.5,Banning Airport,06-065-0012,AQS,5,44,36,45,40
1/22/2025,43,PM10,Mecca (Saul Martinez),06-065-2005,AQS,6,42,43,31,36
1/23/2025,52,PM2.5,Banning Airport,06-065-0012,AQS,3,45,44,52,41
1/24/2025,51,PM10,Mecca (Saul Martinez),06-065-2005,AQS,7,45,51,48,39
1/25/2025,63,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,51,53,63,38
1/26/2025,39,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,2,39,20,38,12
1/27/2025,40,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,40,15,39,25
1/28/2025,64,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,39,24,64,24
1/29/2025,66,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,5,40,26,66,24
1/30/2025,81,PM2.5,Rubidoux,06-065-8001,AQS,7,43,35,81,37
1/31/2025,94,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,46,46,94,40
2/1/2025,112,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,58,51,112,40
2/2/2025,109,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,64,50,109,40
2/3/2025,90,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,49,51,90,43
2/4/2025,64,PM2.5,Rubidoux,06-065-8001,AQS,7,44,37,64,30
2/5/2025,47,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,3,36,32,47,26
2/6/2025,42,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,3,40,22,42,16
2/7/2025,39,Ozone,Palm Springs,06-065-5001,AQS,2,39,31,23,19
2/8/2025,64,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,5,44,27,64,25
2/9/2025,71,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,46,28,71,25
2/10/2025,66,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,48,57,66,27
2/11/2025,164,PM10,Indio Amistad High School,06-065-2007,AQS,2,44,164,58,16
2/12/2025,44,PM2.5,Indio Amistad High School,06-065-2007,AQS,2,42,23,44,20
2/13/2025,40,Ozone,Banning Airport,06-065-0012,AQS,3,40,37,27,18
2/14/2025,45,Ozone,Palm Springs,06-065-5001,AQS,2,45,15,38,14
2/15/2025,53,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,44,20,53,28
2/16/2025,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,45,25,61,35
2/17/2025,64,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,49,29,64,32
2/18/2025,63,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,5,44,37,63,29
2/19/2025,66,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,49,39,66,39
2/20/2025,58,Ozone,Pechanga,06-065-0009,AirNow,8,58,35,57,37
2/21/2025,46,Ozone,Pechanga,06-065-0009,AirNow,3,46,19,25,30
2/22/2025,58,Ozone,Lake Elsinore,06-065-9001,AQS,6,58,24,46,34
2/23/2025,67,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,67,39,67,38
2/24/2025,93,Ozone,Banning Airport,06-065-0012,AQS,9,93,49,71,46
2/25/2025,90,Ozone,Pechanga,06-065-0009,AirNow,9,90,48,66,45
2/26/2025,80,Ozone,Pechanga,06-065-0009,AirNow,9,80,37,52,41
